datetime_entry,datetime_exit,symbol,direction,timeframe,expiration_min,account_type,strategy_name,entry_reference,payout,stake,mg_level,result,pnl,balance_after
2025-09-21T03:25:00-03:00,2025-09-21T03:30:00.064755-03:00,EURUSD-OTC,put,M5,5,REAL,achiles_rzim,13100415874,84.0,144.55,4,WIN,125.76,674.08
2025-09-21T03:30:00-03:00,2025-09-21T03:31:00.124078-03:00,GBPUSD-OTC,put,M1,1,REAL,ghost_rzim,13100422973,87.0,10.0,0,WIN,8.7,682.78
2025-09-21T03:31:00-03:00,2025-09-21T03:32:00.049092-03:00,EURUSD-OTC,call,M1,1,REAL,diamond_rzim,13100424607,87.0,10.0,0,LOSS,-10.0,672.78
2025-09-21T03:32:00-03:00,2025-09-21T03:33:00.006203-03:00,GBPUSD-OTC,call,M1,1,REAL,ghost_rzim,13100426303,87.0,13.79,1,WIN,12.0,684.78
2025-09-21T03:36:00-03:00,2025-09-21T03:37:00.023250-03:00,GBPUSD-OTC,put,M1,1,REAL,ghost_rzim,13100432400,87.0,10.0,0,WIN,8.7,693.48
2025-09-21T05:03:00-03:00,2025-09-21T05:03:59.952795-03:00,EURUSD-OTC,put,M1,1,REAL,ghost_rzim,13100564621,87.0,2.0,0,LOSS,-2.0,691.48
2025-09-21T05:04:00-03:00,2025-09-21T05:05:00.028034-03:00,GBPUSD-OTC,call,M1,1,REAL,diamond_rzim,13100566042,87.0,4.02,1,LOSS,-4.02,687.46
2025-09-21T05:10:00-03:00,2025-09-21T05:15:00.079679-03:00,AUDUSD-OTC,call,M5,5,REAL,diamond_rzim,13100575426,84.0,8.95,2,LOSS,-8.95,678.51
2025-09-21T05:16:00-03:00,2025-09-21T05:16:59.885246-03:00,GBPUSD-OTC,call,M1,1,REAL,diamond_rzim,13100585951,87.0,18.93,3,LOSS,-18.93,659.58
2025-09-21T05:20:00-03:00,2025-09-21T05:24:59.963035-03:00,GBPUSD-OTC,put,M5,5,REAL,ghost_rzim,13100592524,84.0,42.14,4,LOSS,-42.14,617.44
2025-09-21T05:30:00-03:00,2025-09-21T05:34:59.996269-03:00,EURUSD-OTC,put,M5,5,REAL,ghost_rzim,13100607292,84.0,92.31,5,WIN,80.31,697.75
