datetime,asset,timeframe,strategy,stake,result,pnl,payout,roid,mode
2025-09-21T01:26:00.274942-03:00,GBPUSD-OTC,60,ghost_rzim,10.0,LOSS,-10.0,87.0,13100179437,REAL
2025-09-21T01:35:00.150965-03:00,GBPUSD-OTC,300,ghost_rzim,14.29,LOSS,-14.29,84.0,13100190496,REAL
2025-09-21T01:36:00.225985-03:00,EURUSD-OTC,60,achiles_rzim,30.22,WIN,26.29,87.0,13100201984,REAL
2025-09-21T01:45:00.146150-03:00,EURUSD-OTC,300,diamond_rzim,10.0,WIN,8.7,84.0,13100212813,REAL
2025-09-21T01:46:00.096013-03:00,GBPUSD-OTC,60,ghost_rzim,10.0,LOSS,-10.0,87.0,13100224832,REAL
2025-09-21T01:47:00.370616-03:00,EURUSD-OTC,60,ghost_rzim,13.79,LOSS,-13.79,87.0,13100227379,REAL
2025-09-21T01:55:00.082713-03:00,GBPUSD-OTC,300,achiles_rzim,30.7,LOSS,-30.7,84.0,13100235943,REAL
2025-09-21T01:57:00.075359-03:00,EURUSD-OTC,60,achiles_rzim,64.93,WIN,56.49,87.0,13100248384,REAL
2025-09-21T02:05:00.164548-03:00,EURUSD-OTC,300,ghost_rzim,10.0,LOSS,-10.0,84.0,13100255944,REAL
2025-09-21T02:06:00.134409-03:00,GBPUSD-OTC,60,diamond_rzim,13.79,LOSS,-13.79,87.0,13100266601,REAL
2025-09-21T02:07:00.242723-03:00,EURUSD-OTC,60,ghost_rzim,29.64,LOSS,-29.64,87.0,13100268487,REAL
2025-09-21T02:15:00.199462-03:00,EURUSD-OTC,300,diamond_rzim,65.99,WIN,57.41,84.0,13100277175,REAL
2025-09-21T02:16:00.326907-03:00,GBPUSD-OTC,60,achiles_rzim,10.0,LOSS,-10.0,87.0,13100287335,REAL
2025-09-21T02:17:00.152092-03:00,EURUSD-OTC,60,ghost_rzim,13.79,LOSS,-13.79,87.0,13100289406,REAL
2025-09-21T02:25:00.192651-03:00,GBPUSD-OTC,300,achiles_rzim,30.7,WIN,26.71,84.0,13100296006,REAL
2025-09-21T02:35:00.245839-03:00,EURUSD-OTC,300,diamond_rzim,10.0,LOSS,-10.0,84.0,13100315384,REAL
2025-09-21T02:36:00.230263-03:00,GBPUSD-OTC,60,achiles_rzim,13.79,LOSS,-13.79,87.0,13100326060,REAL
2025-09-21T02:38:00.127935-03:00,GBPUSD-OTC,60,ghost_rzim,29.64,LOSS,-29.64,87.0,13100330193,REAL
2025-09-21T02:45:00.083869-03:00,GBPUSD-OTC,300,ghost_rzim,65.99,WIN,57.41,84.0,13100336541,REAL
2025-09-21T02:47:00.145294-03:00,GBPUSD-OTC,60,ghost_rzim,10.0,WIN,8.7,87.0,13100349349,REAL
2025-09-21T02:52:00.214796-03:00,EURUSD-OTC,60,achiles_rzim,10.0,LOSS,-10.0,87.0,13100358606,REAL
2025-09-21T03:00:00.183761-03:00,EURUSD-OTC,300,ghost_rzim,14.29,WIN,12.43,84.0,13100365037,REAL
2025-09-21T03:01:00.116539-03:00,GBPUSD-OTC,60,diamond_rzim,10.0,LOSS,-10.0,87.0,13100374962,REAL
2025-09-21T03:02:00.156028-03:00,EURUSD-OTC,60,diamond_rzim,13.79,WIN,12.0,87.0,13100376768,REAL
2025-09-21T03:10:00.146890-03:00,EURUSD-OTC,300,ghost_rzim,10.0,LOSS,-10.0,84.0,13100383549,REAL
2025-09-21T03:12:00.083690-03:00,GBPUSD-OTC,60,ghost_rzim,13.79,LOSS,-13.79,87.0,13100393581,REAL
2025-09-21T03:20:00.078843-03:00,GBPUSD-OTC,300,diamond_rzim,30.7,LOSS,-30.7,84.0,13100399788,REAL
2025-09-21T03:22:00.147862-03:00,EURUSD-OTC,60,diamond_rzim,64.93,LOSS,-64.93,87.0,13100409804,REAL
2025-09-21T03:30:00.064755-03:00,EURUSD-OTC,300,achiles_rzim,144.55,WIN,125.76,84.0,13100415874,REAL
2025-09-21T03:31:00.124078-03:00,GBPUSD-OTC,60,ghost_rzim,10.0,WIN,8.7,87.0,13100422973,REAL
2025-09-21T03:32:00.049092-03:00,EURUSD-OTC,60,diamond_rzim,10.0,LOSS,-10.0,87.0,13100424607,REAL
2025-09-21T03:33:00.006203-03:00,GBPUSD-OTC,60,ghost_rzim,13.79,WIN,12.0,87.0,13100426303,REAL
2025-09-21T03:37:00.023250-03:00,GBPUSD-OTC,60,ghost_rzim,10.0,WIN,8.7,87.0,13100432400,REAL
2025-09-21T05:03:59.952795-03:00,EURUSD-OTC,60,ghost_rzim,2.0,LOSS,-2.0,87.0,13100564621,REAL
2025-09-21T05:05:00.028034-03:00,GBPUSD-OTC,60,diamond_rzim,4.02,LOSS,-4.02,87.0,13100566042,REAL
2025-09-21T05:15:00.079679-03:00,AUDUSD-OTC,300,diamond_rzim,8.95,LOSS,-8.95,84.0,13100575426,REAL
2025-09-21T05:16:59.885246-03:00,GBPUSD-OTC,60,diamond_rzim,18.93,LOSS,-18.93,87.0,13100585951,REAL
2025-09-21T05:24:59.963035-03:00,GBPUSD-OTC,300,ghost_rzim,42.14,LOSS,-42.14,84.0,13100592524,REAL
2025-09-21T05:34:59.996269-03:00,EURUSD-OTC,300,ghost_rzim,92.31,WIN,80.31,84.0,13100607292,REAL
2025-09-21T12:31:59.818221-03:00,EURUSD-OTC,60,ghost_rzim,2.0,LOSS,-2.0,87.0,13101548809,PRACTICE
